"","modalite","site","ET_diff","mean_diff","ET_diff_chamae","mean_diff_chamae","ET_diff_phan","mean_diff_phan","ET_diff_geo","mean_diff_geo","ET_diff_thero","mean_diff_thero","année"
"1","enclos_exclos","TF",0,0,0.00736286614899953,-0.000886656746031757,0.022042629602032,0.00828993055555556,0,0,0.0149757028154194,-0.00740327380952378,2016
"14","enclos_exclos","TF",0,0,0.00816496580927722,-2.77555756156289e-17,0.0182574185835055,0,0,0,0.0125830573921179,-0.0025,2017
"2","enclos_exclos","Arc",0,0.11,0.0230940107675851,-0.223333333333333,0.0173205080756888,0.01,0,0.11,0,0,2017
"11","exclos_selectif chevreuil","Arc",0,0.22,0.00577350269189626,-0.436666666666667,0.00577350269189626,-0.00333333333333333,0,0.08,0,0.14,2017
"12","exclos_selectif sanglier","Arc",0,0.08,0.00577350269189626,-0.436666666666667,0.00577350269189626,-0.00333333333333333,0,0.22,0,0.14,2017
"13","exclos_selectif cerf","Arc",0,0.09,0,-0.35,0,0,0,0.09,0,0.16,2017
"15","exclos_selectif cerf","Arc",0,0.09,0.00707106781186548,-0.355,0,0.01,0,0.09,0,0.16,2018
"21","exclos_selectif chevreuil","Arc",0,0.22,0.00707106781186548,-0.445,0,0.01,0,0.08,0,0.14,2018
"3","exclos_selectif sanglier","Arc",0,0.08,0.00577350269189626,-0.446666666666667,0.01,0,0,0.22,0,0.14,2018
"4","enclos_exclos","Arc",NA,0.11,NA,-0.21,NA,0,NA,0.11,NA,0,2018
"5","enclos_exclos","TF",0,0,0,0,0.005,0.0025,0,0,0.005,0.0025,2018
"16","enclos_exclos","TF",0,0,0.00499999999999995,0.00249999999999997,0.00816496580927726,0,0,0,0.005,-0.0025,2019
"22","enclos_exclos","Arc",0.0115470053837925,0.103333333333333,0.0251661147842359,-0.223333333333333,0.0360555127546399,0.02,0.00577350269189625,0.103333333333333,0,0,2019
"31","exclos_selectif sanglier","Arc",0,0.08,0.00577350269189626,-0.443333333333333,0.00577350269189626,0.00666666666666667,0,0.22,0,0.14,2019
"41","exclos_selectif chevreuil","Arc",0.00577350269189626,0.213333333333333,0.0251661147842359,-0.436666666666667,0.0208166599946613,0.00666666666666667,0,0.08,0.00577350269189626,0.133333333333333,2019
"51","exclos_selectif cerf","Arc",0,0.09,0.0321455025366432,-0.336666666666667,0.0305505046330389,0.00333333333333333,0,0.09,0.00577350269189626,0.153333333333333,2019
"17","exclos_selectif cerf","Arc",0,0.08,0.0513160143944689,-0.296666666666667,0.0435889894354067,-0.01,0.00577350269189625,0.0866666666666667,0.01,0.14,2020
"23","exclos_selectif chevreuil","Arc",0.0115470053837925,0.196666666666667,0.0781024967590665,-0.4,0.0665832811847939,0.00333333333333334,0.00577350269189625,0.0733333333333333,0.00577350269189626,0.123333333333333,2020
"32","exclos_selectif sanglier","Arc",0,0.08,0.0208166599946613,-0.446666666666667,0.0208166599946613,0.0333333333333333,0.00577350269189625,0.206666666666667,0.00577350269189626,0.126666666666667,2020
"42","enclos_exclos","Arc",0.01,0.1,0.0321455025366432,-0.216666666666667,0.0208166599946613,0.0233333333333333,0.00577350269189626,0.0933333333333333,0,0,2020
"18","enclos_exclos","Arc",0,0.1,0.0288675134594813,-0.166666666666667,0.0288675134594813,-0.0333333333333333,0,0.1,0,0,2021
"24","enclos_exclos","TF",0,0,0.00816496580927726,-6.93889390390723e-18,0.035,-0.0175,0,0,0.0258198889747161,0.01,2021
"33","exclos_selectif sanglier","Arc",0.00577350269189625,0.0766666666666667,0.06,-0.34,0.0754983443527075,-0.06,0,0.2,0.00577350269189626,0.126666666666667,2021
"43","exclos_selectif chevreuil","Arc",0.01,0.2,0.0529150262212918,-0.35,0.0321455025366432,-0.0566666666666667,0.00577350269189625,0.0766666666666667,0.00577350269189626,0.126666666666667,2021
"52","exclos_selectif cerf","Arc",0.00577350269189625,0.0866666666666667,0.0305505046330389,-0.293333333333333,0.0173205080756888,-0.03,0.00577350269189625,0.0866666666666667,0.00577350269189625,0.146666666666667,2021
"19","exclos_selectif cerf","Arc",0.00577350269189625,0.0866666666666667,0.0264575131106459,-0.32,0.0404145188432738,-0.00333333333333333,0,0.09,0.00577350269189625,0.146666666666667,2022
"25","exclos_selectif chevreuil","Arc",0,0.21,0.0450924975282289,-0.393333333333333,0.0450924975282289,-0.0266666666666667,0,0.08,0,0.13,2022
"34","exclos_selectif sanglier","Arc",0.00577350269189625,0.0766666666666667,0.0173205080756888,-0.46,0.02,0.05,0.00577350269189625,0.206666666666667,0.00577350269189626,0.126666666666667,2022
"44","enclos_exclos","Arc",0.01,0.1,0.03,-0.22,0.0305505046330389,0.0166666666666667,0.01,0.1,0,0,2022
"53","enclos_exclos","TF",0,0,0.0206155281280883,-0.0125,0.0408248290463863,0.03,0,0,0.0221735578260835,-0.0125,2022
