Layer,Intercept,Estimate,Standard Error,t value,P value
Herbaceous,exclos selectif cerf,0.0185185185185185,0.0391208712539904,0.473366720242193,0.637150954996401
,exclos selectif chevreuil,0.0185185185185185,0.0391208712539904,0.473366720242193,0.637150954996401
,exclos selectif sanglier,0.0185185185185186,0.0391208712539904,0.473366720242194,0.6371509549964
Low shrub,exclos selectif cerf,0.0162037037037037,0.0647075881742686,0.250414273826191,0.802864257259009
,exclos selectif chevreuil,-0.00231481481481486,0.0647075881742686,-0.0357734676894566,0.971545893871356
,exclos selectif sanglier,0.0162037037037036,0.0647075881742686,0.25041427382619,0.80286425725901
High shrub,exclos selectif cerf,0.000163398692810443,0.0652171869470656,0.00250545447388076,0.99800725465131
,exclos selectif chevreuil,0.0300245098039216,0.0637873650498916,0.470696818726369,0.639154312997126
,exclos selectif sanglier,-0.0498366013071895,0.0613302974437664,-0.812593504097785,0.41889319683533
Tree,exclos selectif cerf,0.0347222222222222,0.0322101521781759,1.07799000855849,0.284052629103599
,exclos selectif chevreuil,-0.0300925925925926,0.0322101521781759,-0.934258007417362,0.352786635330259
,exclos selectif sanglier,-0.0208333333333333,0.0322101521781759,-0.646794005135096,0.519487835686689
