Forest layer,Intercept,Estimate,Standard Error,t value,P value
Herbaceous ,2017:exclos selectif cerf,0.124999999999999,0.635843435917994,0.196589274873194,0.851889837284579
,2018:exclos selectif cerf,-0.864583333333333,0.635843435917994,-1.35974248453961,0.232014109361175
,2019:exclos selectif cerf,0.583333333333334,0.635843435917994,0.917416616074917,0.401011654310703
,2020:exclos selectif cerf,0.0833333333333342,0.686789405494872,0.121337534718212,0.908149221059463
,2021:exclos selectif cerf,0.875000000000001,0.635843435917994,1.37612492411237,0.227221725592552
,2022:exclos selectif cerf,NA,NA,NA,NA
,2017:exclos selectif chevreuil,-1.20833333333333,0.635843435917994,-1.9003629904409,0.115809346176463
,2018:exclos selectif chevreuil,-1.03125,0.635843435917994,-1.62186151770387,0.16575973132008
,2019:exclos selectif chevreuil,-0.0833333333333341,0.635843435917994,-0.131059516582132,0.900838279725665
,2020:exclos selectif chevreuil,-1.25,0.686789405494872,-1.82006302077316,0.128398765169999
,2021:exclos selectif chevreuil,-0.458333333333333,0.635843435917994,-0.72082734120172,0.503299247367871
,2022:exclos selectif chevreuil,NA,NA,NA,NA
,2017:exclos selectif sanglier,-0.541666666666669,0.635843435917994,-0.851886857783853,0.433173996486591
,2018:exclos selectif sanglier,-1.5,0.635843435917994,-2.35907129847836,0.064825717166316
,2019:exclos selectif sanglier,0.249999999999999,0.635843435917994,0.393178549746391,0.710392516460984
,2020:exclos selectif sanglier,-0.583333333333334,0.686789405494872,-0.849362743027476,0.434451563420658
,2021:exclos selectif sanglier,0.208333333333333,0.635843435917994,0.327648791455327,0.75645143859685
,2022:exclos selectif sanglier,NA,NA,NA,NA
Low shrub,2017:exclos selectif cerf,-0.375000000000001,0.442530601578393,-0.847399024299049,0.435447477746464
,2018:exclos selectif cerf,-0.875000000000001,0.442530601578393,-1.97726439003111,0.104944512479551
,2019:exclos selectif cerf,-0.875,0.442530601578392,-1.97726439003111,0.104944512479551
,2020:exclos selectif cerf,-0.125,0.47798767999,-0.261513016407903,0.804127610290692
,2021:exclos selectif cerf,0.333333333333333,0.442530601578392,0.753243577154708,0.485238099000463
,2022:exclos selectif cerf,NA,NA,NA,NA
,2017:exclos selectif chevreuil,-0.0416666666666675,0.442530601578392,-0.0941554471443405,0.928642400474032
,2018:exclos selectif chevreuil,0.458333333333332,0.442530601578393,1.03570991858772,0.34780694419601
,2019:exclos selectif chevreuil,-0.208333333333334,0.442530601578392,-0.470777235721694,0.657622288584666
,2020:exclos selectif chevreuil,0.208333333333332,0.47798767999,0.435855027346502,0.681117098300624
,2021:exclos selectif chevreuil,-3.13023468924817e-16,0.442530601578392,-7.07348752398916e-16,0.999999999999999
,2022:exclos selectif chevreuil,NA,NA,NA,NA
,2017:exclos selectif sanglier,-0.375,0.442530601578392,-0.847399024299048,0.435447477746465
,2018:exclos selectif sanglier,-0.375,0.442530601578392,-0.847399024299046,0.435447477746465
,2019:exclos selectif sanglier,-0.208333333333334,0.442530601578392,-0.470777235721693,0.657622288584667
,2020:exclos selectif sanglier,0.208333333333334,0.47798767999,0.435855027346506,0.681117098300622
,2021:exclos selectif sanglier,-0.333333333333333,0.442530601578392,-0.753243577154708,0.485238099000462
,2022:exclos selectif sanglier,NA,NA,NA,NA
High shrub,2017:exclos selectif cerf,0.375,0.292261298612503,1.28309838415245,0.255710675350983
,2018:exclos selectif cerf,0.375,0.292261298612503,1.28309838415245,0.255710675350983
,2019:exclos selectif cerf,0.208333333333334,0.292261298612503,0.712832435640253,0.507825337544477
,2020:exclos selectif cerf,0.0416666666666668,0.315678282081263,0.131990919337114,0.900138435397548
,2021:exclos selectif cerf,0.208333333333334,0.292261298612503,0.712832435640252,0.507825337544477
,2022:exclos selectif cerf,NA,NA,NA,NA
,2017:exclos selectif chevreuil,-0.291666666666667,0.292261298612503,-0.997965409896353,0.364112293914485
,2018:exclos selectif chevreuil,-0.291666666666667,0.292261298612503,-0.997965409896355,0.364112293914484
,2019:exclos selectif chevreuil,-0.458333333333334,0.292261298612503,-1.56823135840856,0.177615187849269
,2020:exclos selectif chevreuil,0.0416666666666668,0.315678282081263,0.131990919337114,0.900138435397548
,2021:exclos selectif chevreuil,-0.125000000000001,0.292261298612503,-0.427699461384154,0.686664901127585
,2022:exclos selectif chevreuil,NA,NA,NA,NA
,2017:exclos selectif sanglier,-0.625,0.292261298612503,-2.13849730692075,0.0854797270894805
,2018:exclos selectif sanglier,-0.625,0.292261298612503,-2.13849730692075,0.0854797270894805
,2019:exclos selectif sanglier,-0.791666666666666,0.292261298612503,-2.70876325543296,0.0423386344458824
,2020:exclos selectif sanglier,0.0416666666666671,0.315678282081263,0.131990919337115,0.900138435397547
,2021:exclos selectif sanglier,-0.458333333333334,0.292261298612503,-1.56823135840855,0.177615187849269
,2022:exclos selectif sanglier,NA,NA,NA,NA
Tree,année 2017,7.25317641447817e-17,0.15723301886761,4.61301097359539e-16,1
,année 2018,9.12453173300352e-17,0.15723301886761,5.80319057582068e-16,1
,année 2019,7.54089117317617e-17,0.15723301886761,4.79599719415524e-16,1
,année 2020,1.04791709470813e-16,0.15723301886761,6.66473939287823e-16,1
,année 2021,0.216666666666667,0.15723301886761,1.37799724400827,0.180917486522683
,année 2022,2.71915392502367e-17,0.15723301886761,1.72937843756164e-16,1
