"","modalite","site","ET_diff_lumiere","mean_diff_lumiere","ET_diff_tolerante","mean_diff_tolerante","ET_diff_ombre","mean_diff_ombre","année"
"1","enclos_exclos","TF",0.138888888888889,0.0694444444444444,0.662073296080363,-0.106944444444444,NA,-0.2125,2016
"2","enclos_exclos","TF",0.0946484724300046,0.0708333333333333,0.570281586968556,0.289285714285714,NA,-0.110119047619048,2017
"3","enclos_exclos","Arc",0.209717623201965,0.0277777777777778,0.42763345328724,0.638888888888889,NA,0,2017
"4","exclos_selectif sanglier","Arc",0.763762615825973,-0.166666666666667,0.288675134594813,-0.166666666666667,NA,0,2017
"5","exclos_selectif chevreuil","Arc",0.251661147842358,0.233333333333333,0.750555349946514,-0.233333333333333,NA,0,2017
"6","exclos_selectif cerf","Arc",0.5,0.5,0.5,-0.5,NA,0,2017
"7","exclos_selectif cerf","Arc",0.636396103067893,-0.55,0.636396103067893,0.55,NA,0,2018
"8","exclos_selectif sanglier","Arc",0.25,0.25,0.629152869605896,0.416666666666667,NA,0,2018
"9","exclos_selectif chevreuil","Arc",0.164991582276861,0.55,0.164991582276861,-0.55,NA,0,2018
"10","enclos_exclos","Arc",NA,0.0982142857142857,NA,-0.0982142857142857,NA,0,2018
"11","enclos_exclos","TF",0.561770789337686,0.486111111111111,0.561770789337686,-0.486111111111111,NA,0,2018
"12","enclos_exclos","TF",0.107424673462999,0.206746031746032,0.179864804635554,-0.262301587301587,NA,0.0555555555555555,2019
"13","enclos_exclos","Arc",0.310139808309053,0.00277618623206858,0.310139808309053,-0.00277618623206862,NA,0,2019
"14","exclos_selectif sanglier","Arc",0.173882395487186,0.0834554334554334,0.23142214842466,-0.116788766788767,NA,0.0333333333333333,2019
"15","exclos_selectif chevreuil","Arc",0.0557989388736979,0.261363636363636,0.0557989388736979,-0.261363636363636,NA,0,2019
"16","exclos_selectif cerf","Arc",0.0926916514711899,-0.0301587301587301,0.0926916514711899,0.0301587301587302,NA,0,2019
"17","exclos_selectif cerf","Arc",0.173355367189289,-0.0458333333333333,0.173355367189289,0.0458333333333334,NA,0,2020
"18","exclos_selectif chevreuil","Arc",0.0666400661007738,0.0871082621082621,0.0666400661007738,-0.0871082621082621,NA,0,2020
"19","exclos_selectif sanglier","Arc",0.1821510701195,0.0277777777777778,0.212156282173881,-0.0462962962962963,NA,0.0185185185185185,2020
"20","enclos_exclos","Arc",0.617199252555746,-0.243181818181818,0.617199252555746,0.243181818181818,NA,0,2020
"21","enclos_exclos","TF",0.125,-0.0625,0.392978176000652,0.0301587301587302,NA,-0.21765873015873,2021
"22","enclos_exclos","Arc",0,0,0.0961211515519334,0.101423902894491,NA,-0.434757236227824,2021
"23","exclos_selectif chevreuil","Arc",0,0,0.138121938925795,0.15080467372134,NA,-0.15080467372134,2021
"24","exclos_selectif sanglier","Arc",0,0,0.135920628753356,0.225996605211165,NA,-0.225996605211165,2021
"25","exclos_selectif cerf","Arc",0,0,0.312703099077657,0.305994152046784,NA,-0.305994152046784,2021
"26","exclos_selectif cerf","Arc",0.288675134594813,0.166666666666667,0.288675134594813,0.166666666666667,NA,0,2022
"27","exclos_selectif sanglier","Arc",0,0,0,0,NA,0,2022
"28","exclos_selectif chevreuil","Arc",0.266339330776469,-0.196969696969697,0.266339330776469,0.196969696969697,NA,0,2022
"29","enclos_exclos","Arc",0,0,0,0,NA,0,2022
"30","enclos_exclos","TF",0,0,0.128300059819917,0.111111111111111,NA,-0.111111111111111,2022
