"","id_quadra","id_placette","Site","Date","N_Dispo","N_releve","N_quadra","Recouvrement","Parcelle","Surf_terr","Fencing","Abie.al","Acer.ca","Acer.pl","Acer.ps","Acer.sp","Alar.pe","Alnu.gl","Betu.pe","Betu.pu","Betu.sp","Call.vu","Carp.be","Cast.sa","Clem.vi","Corn.ma","Corn.sa","Cory.av","Crat.la","Crat.mo","Daph.la","Daph.me","Dryo.sp","Euon.eu","Fagu.sy","Fran.al","Frax.ex","Hede.he","Ilex.aq","Junc.ef","Lari.de","Ligu.vu","Loni.pe","Loni.xy","Malu.dom","Malu.sy","Pice.ab","Pinu.sy","Popu.tr","Prun.av","Prun.se","Prun.sp","Pseu.me","Pyru.cor","Pyru.py","Quer.ru","Quer.ro","Quer.pe","Ribe.sp","Ribe.uv","Rosa.ar","Rosa.ca","Rosa.sp","Rubu.fr","Rubu.id","Rubu.ca","Sali.ca","Sali.sp","Samb.ni","Samb.ra","Sorb.ar","Sorb.au","Sorb.to","Tili.co","Tili.pl","Tilia.sp","Ulmu.la","Ulmu.sp","Vacc.my","Vibu.la","sum_no","proportion_no","sum_yes","proportion_yes"
"1","Arc_1A_1","Arc_1A","Arc",2017,"1","A",1,"29,9","65","12","exclos",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA
"2","Arc_1A_2","Arc_1A","Arc",2017,"1","A",2,"29,9","65","12","exclos",NA,"yes",NA,NA,NA,0,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,2,1
"3","Arc_1A_3","Arc_1A","Arc",2017,"1","A",3,"29,9","65","12","exclos",NA,"yes",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,1
"4","Arc_1A_4","Arc_1A","Arc",2017,"1","A",4,"29,9","65","12","exclos",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,1
"5","Arc_1A_5","Arc_1A","Arc",2017,"1","A",5,"29,9","65","12","exclos",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,3,1
"6","Arc_1A_6","Arc_1A","Arc",2017,"1","A",6,"29,9","65","12","exclos",NA,"yes",NA,NA,NA,0,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,3,1
"7","Arc_1A_7","Arc_1A","Arc",2017,"1","A",7,"29,9","65","12","exclos",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,1
"8","Arc_1A_8","Arc_1A","Arc",2017,"1","A",8,"29,9","65","12","exclos",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,3,1
"9","Arc_1B_1","Arc_1B","Arc",2017,"1","B",1,"22,1","65","11","exclos",NA,"yes",NA,NA,NA,0,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,4,1
"10","Arc_1B_2","Arc_1B","Arc",2017,"1","B",2,"22,1","65","11","exclos",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,1
