Layer,Intercept,,,Estimate,Standard Error,T value,P value
Herbaceous,exclos selectif cerf,,,0.000277777777777766,0.0097407351655423,0.0285171265881862,0.977282018671532
,exclos selectif chevreuil,,,-0.000694444444444457,0.00974073516554231,-0.0712928164704696,0.943245659070203
,exclos selectif sanglier,,,-7.34755314501127e-18,0.0097407351655423,-7.54311971338993e-16,0.999999999999999
Low shrub,exclos selectif cerf,,,-9.25925925925879e-05,0.025441117706248,-0.00363948603444606,0.997100238614866
,exclos selectif chevreuil,,,0.000277777777777915,0.025441117706248,0.0109184581033441,0.991300870354082
,exclos selectif sanglier,,,0.000555555555555512,0.025441117706248,0.0218369162066757,0.982602783573462
High shrub,exclos selectif cerf,,,0.00902777777777771,0.03928909028235,0.229778233929568,0.818530928356259
,exclos selectif chevreuil,,,-0.00847222222222225,0.03928909028235,-0.215638034918519,0.829519602648294
,exclos selectif sanglier,,,-0.00875000000000002,0.03928909028235,-0.222708134424045,0.824020916564719
Tree,année 2021,,,0.00133333333333333,0.0533346813555131,0.0249993681305738,0.98020162041552
