"","modalite","site","ET_diff_autochor","mean_diff_autochor","ET_diff_zoochor","mean_diff_zoochor","ET_diff_hemerochor","mean_diff_hemerochor","ET_diff_anemochor","mean_diff_anemochor","ET_diff_meteorochor","mean_diff_meteorochor","ET_diff_barrochor","mean_diff_barrochor","année"
"1","enclos_exclos","TF",0.12669675856878,-0.0706707229262672,0.129354671710623,0.0388986895161295,0.177105624091699,0.0346990207373272,0.0962573590513606,-0.00292698732718929,0,0,0,0,2016
"2","enclos_exclos","TF",0.144913767461894,-0.07,0.137840487520902,-0.04,0.102469507659596,0.105,0.031091263510296,0.005,0,0,0,0,2017
"3","enclos_exclos","Arc",0.0351188458428425,-0.0366666666666667,0.0960902353693305,0.0133333333333333,0.106926766215636,0.0633333333333333,0.113724814061547,-0.0433333333333333,0,0,0,0,2017
"4","exclos_selectif sanglier","Arc",0.089628864398325,-0.00666666666666666,0.210713075057055,-0.11,0.100166528008778,0.0233333333333333,0.113578166916006,0.09,0,0,0,0,2017
"5","exclos_selectif chevreuil","Arc",0.141774468787578,0.04,0.165227116418583,0.01,0.145716619962629,-0.0266666666666667,0.0360555127546399,-0.02,0,0,0,0,2017
"6","exclos_selectif cerf","Arc",0.11060440015358,-0.0133333333333333,0.0862167810425171,0.00666666666666666,0.055075705472861,0.0633333333333333,0.0458257569495584,-0.06,0,0,0,0,2017
"7","exclos_selectif cerf","Arc",0.15556349186104,0.01,0.014142135623731,0.02,0.0919238815542512,0.025,0.0353553390593274,-0.045,0,0,0,0,2018
"8","exclos_selectif chevreuil","Arc",0.0212132034355964,0.095,0.197989898732233,-0.02,0.120208152801713,-0.025,0.106066017177982,-0.055,0,0,0,0,2018
"9","exclos_selectif sanglier","Arc",0.120968315410827,-0.0466666666666667,0.113724814061547,-0.0233333333333333,0.0404145188432738,0.0333333333333333,0.0360555127546399,0.04,0,0,0,0,2018
"10","enclos_exclos","Arc",NA,-0.02,NA,-0.12,NA,0.12,NA,0.02,NA,0,NA,0,2018
"11","enclos_exclos","TF",0.116761865920913,0.005,0.035,0.0325,0.126852933220587,0.0025,0.0754431353183752,-0.0375,0,0,0,0,2018
"12","enclos_exclos","TF",0.0619139187366891,-0.015,0.0170782512765994,0.0375,0.10847426730182,-0.035,0.0660176744011279,0.0125,0,0,0,0,2019
"13","enclos_exclos","Arc",0.0907377172587747,0.00666666666666665,0.0757187779440037,-0.0633333333333333,0.07,0.08,0.0435889894354067,-0.02,0,0,0,0,2019
"14","exclos_selectif chevreuil","Arc",0.172143351115671,0.0933333333333334,0.209841209807162,-0.0633333333333333,0.0916515138991168,0.06,0.109696551146029,-0.0966666666666667,0,0,0,0,2019
"15","exclos_selectif cerf","Arc",0.133166562369588,-0.0533333333333333,0.0251661147842358,0.0233333333333333,0.0529150262212918,0,0.09,0.03,0,0,0,0,2019
"16","exclos_selectif sanglier","Arc",0.0611010092660779,-0.0366666666666667,0.156950098226581,-0.0466666666666667,0.0929157324317757,0.0866666666666667,0.0458257569495584,-0.00999999999999999,0,0,0,0,2019
"17","exclos_selectif sanglier","Arc",0.0264575131106459,-0.01,0.0953939201416946,-0.14,0.062449979983984,0.1,0.0513160143944688,0.0533333333333333,0,0,0,0,2020
"18","exclos_selectif chevreuil","Arc",0.173205080756888,-0.03,0.150443787951957,-0.0633333333333334,0.119303534454489,0.0933333333333333,0.0416333199893227,-0.00333333333333335,0,0,0,0,2020
"19","exclos_selectif cerf","Arc",0.0493288286231625,-0.00666666666666666,0.0321455025366432,0.0366666666666667,0.0251661147842358,-0.0366666666666667,0.055075705472861,0.0133333333333333,0,0,0,0,2020
"20","enclos_exclos","Arc",0.126622799421484,-0.0233333333333333,0.136137185711081,-0.0466666666666667,0.176162803489651,0.0366666666666667,0.175594229214212,0.0366666666666667,0,0,0,0,2020
"21","enclos_exclos","Arc",0.06557438524302,0.09,0.0208166599946613,-0.106666666666667,0.0808290376865476,-0.0933333333333333,0.0953939201416946,0.11,0,0,0,0,2021
"22","enclos_exclos","TF",0.0173205080756888,0.005,0.0788986691902975,0.0775,0.0506622805119022,-0.045,0.045,-0.0325,0,0,0,0,2021
