Layer,Intercept,,Estimate,Standard Error,t value,P value
Herbaceous,année 2017,,-0.0200416666666668,0.0740499437814864,-0.270650666877042,0.787153456971515
,année 2018,,-0.0182916666666667,0.0740499437814862,-0.247017968313973,0.805342542083571
,année 2019,,-0.0195833333333334,0.0740499437814862,-0.264461150586715,0.791906349250479
,année 2020,,-0.0252083333333334,0.0755769073943425,-0.333545446650817,0.739340722671978
,année 2021,,-0.0209583333333334,0.0740499437814864,-0.283029699457696,0.777671903039576
,année 2022,,-0.0192916666666667,0.0740499437814863,-0.26052236749287,0.79493501522976
Low shrub,exclos selectif cerf,,-0.00921874999999996,0.0412877661639078,-0.223280425572131,0.823709983164544
,exclos selectif chevreuil ,,-0.03859375,0.0412877661639079,-0.934750256208753,0.351858812136109
,exclos selectif sanglier,,-0.00671874999999995,0.0412877661639079,-0.162729801688163,0.871014325700914
High shrub,exclos selectif cerf,,-0.00993055555555552,0.0447936436622511,-0.22169564124841,0.824940634072105
,exclos selectif chevreuil ,,-0.0400694444444445,0.0447936436622512,-0.894534160841487,0.372888470563682
,exclos selectif sanglier,,-0.00708333333333328,0.0447936436622512,-0.158132555296068,0.874627300831517
Tree,exclos selectif cerf,,-0.0117361111111111,0.0464897952310418,-0.252444887158263,0.80114397959978
,exclos selectif chevreuil ,,-0.0421527777777778,0.0464897952310418,-0.906710334349502,0.366439628643421
,exclos selectif sanglier,,-0.00756944444444447,0.0464897952310418,-0.162819483433437,0.870943871682951
