"","modalite","site","ET_diff","mean_diff","ET_diff_chamae","mean_diff_chamae","ET_diff_phan","mean_diff_phan","ET_diff_geo","mean_diff_geo","ET_diff_thero","mean_diff_thero","année"
"1","enclos_exclos","TF",0,0,0.0125830573921179,0.00750000000000001,0.043493294502333,-0.0125,0,0,0.0355902608401044,0.01,2016
"2","enclos_exclos","TF",0,0,0.00816496580927726,-0.01,0.0262995563967658,0.0225,0,0,0.0173205080756888,-0.025,2017
"3","enclos_exclos","Arc",0.00577350269189625,0.106666666666667,0.0115470053837925,-0.223333333333333,0.0115470053837925,0.0133333333333333,0.00577350269189625,0.103333333333333,0,0,2017
"4","exclos_selectif sanglier","Arc",0,0.08,0.00577350269189626,-0.436666666666667,0.0152752523165195,-0.00333333333333333,0,0.22,0,0.14,2017
"5","exclos_selectif chevreuil","Arc",0.00577350269189626,0.216666666666667,0.0115470053837925,-0.426666666666667,1.2266347333467e-18,-0.01,0,0.08,0.00577350269189626,0.136666666666667,2017
"6","exclos_selectif cerf","Arc",0,0.09,0.0152752523165195,-0.326666666666667,0.0173205080756888,-0.01,0,0.09,0.00577350269189626,0.156666666666667,2017
"7","exclos_selectif cerf","Arc",0,0.09,0.0494974746830583,-0.295,0.0424264068711928,-0.04,0,0.09,0.00707106781186548,0.155,2018
"8","exclos_selectif chevreuil","Arc",0,0.21,0.00707106781186548,-0.415,4.9065389333868e-18,-0.01,0,0.08,0,0.13,2018
"9","exclos_selectif sanglier","Arc",0,0.08,0.0288675134594813,-0.443333333333333,0.0346410161513775,0.01,0.00577350269189626,0.213333333333333,0.00577350269189626,0.133333333333333,2018
"10","enclos_exclos","Arc",NA,0.11,NA,-0.21,NA,0.01,NA,0.1,NA,0,2018
"11","enclos_exclos","TF",0,0,0.0182574185835056,-0.01,0.0330403793359983,0.0225,0,0,0.0258198889747161,-0.01,2018
"12","enclos_exclos","TF",0,0,0.025,-0.00250000000000002,0.035939764421413,0.0075,0,0,0.0189296944860009,-0.00249999999999999,2019
"13","enclos_exclos","Arc",0.01,0.1,0.0251661147842358,-0.183333333333333,0.0208166599946613,-0.00666666666666666,0,0.09,0,0,2019
"14","exclos_selectif chevreuil","Arc",0.01,0.2,0.0458257569495584,-0.35,0.0435889894354067,-0.05,0.00577350269189625,0.0766666666666667,0.00577350269189626,0.126666666666667,2019
"15","exclos_selectif cerf","Arc",0,0.08,0.023094010767585,-0.263333333333333,0.023094010767585,-0.0466666666666667,0.00577350269189625,0.0833333333333333,0,0.14,2019
"16","exclos_selectif sanglier","Arc",0,0.08,0.0378593889720018,-0.396666666666667,0.0404145188432738,-0.0133333333333333,0.00577350269189625,0.206666666666667,0.00577350269189626,0.126666666666667,2019
"17","exclos_selectif sanglier","Arc",0.00577350269189625,0.0733333333333333,0.0173205080756888,-0.4,0.00577350269189625,0.00666666666666666,0.00577350269189626,0.196666666666667,0,0.12,2020
"18","exclos_selectif chevreuil","Arc",0.00577350269189625,0.203333333333333,0.0251661147842358,-0.343333333333333,0.023094010767585,-0.0566666666666667,0.00577350269189625,0.0766666666666667,0.00577350269189626,0.123333333333333,2020
"19","exclos_selectif cerf","Arc",0.00577350269189625,0.0833333333333333,0.0251661147842359,-0.273333333333333,0.00577350269189625,-0.0366666666666667,0.00577350269189625,0.0833333333333333,0.00577350269189625,0.143333333333333,2020
"20","enclos_exclos","Arc",0.00577350269189626,0.0966666666666667,0.0916515138991168,-0.16,0.0971253485622231,-0.0333333333333333,0.00577350269189626,0.0966666666666667,0,0,2020
"21","enclos_exclos","TF",0,0,0.0189296944860009,0.0025,0.00577350269189625,0.005,0,0,0.00957427107756339,-0.00750000000000001,2021
"22","enclos_exclos","Arc",0.00577350269189626,0.0933333333333333,0.0321455025366431,-0.126666666666667,0.0264575131106459,-0.06,0.00577350269189626,0.0966666666666667,0,0,2021
"23","exclos_selectif chevreuil","Arc",0.00577350269189625,0.203333333333333,0.0642910050732864,-0.333333333333333,0.0461880215351701,-0.0566666666666667,0.00577350269189625,0.0766666666666667,0.00577350269189626,0.123333333333333,2021
"24","exclos_selectif cerf","Arc",0,0.09,0.0503322295684717,-0.326666666666667,0.0378593889720018,0.00666666666666667,0.00577350269189625,0.0866666666666667,0.00577350269189625,0.146666666666667,2021
"25","exclos_selectif sanglier","Arc",0.00577350269189625,0.0733333333333333,0.0251661147842359,-0.313333333333333,0.0472581562625261,-0.0766666666666667,0.0115470053837925,0.196666666666667,0.01,0.12,2021
"110","exclos_selectif sanglier","Arc",0.00577350269189625,0.0766666666666667,0.0152752523165195,-0.353333333333333,0.0264575131106459,-0.05,0.00577350269189625,0.206666666666667,0.00577350269189626,0.126666666666667,2022
"26","exclos_selectif chevreuil","Arc",0,0.21,0.0404145188432738,-0.353333333333333,0.0416333199893227,-0.0633333333333333,0,0.08,0,0.13,2022
"31","exclos_selectif cerf","Arc",0.00577350269189625,0.0866666666666667,0.0404145188432738,-0.293333333333333,0.0378593889720018,-0.0266666666666667,0.00577350269189625,0.0866666666666667,0.0152752523165195,0.146666666666667,2022
"41","enclos_exclos","Arc",0,0.1,0.0346410161513775,-0.19,0.0435889894354067,-0.01,0.00577350269189626,0.0966666666666667,0,0,2022
"61","enclos_exclos","TF",0,0,0.0221735578260835,-0.0125,0.0888350531415762,0.0225,0,0,0.0645497224367903,-0.015,2022
