"","modalite","site","ET_diff","mean_diff","ET_diff_chamae","mean_diff_chamae","ET_diff_phan","mean_diff_phan","ET_diff_geo","mean_diff_geo","ET_diff_thero","mean_diff_thero","année"
"1","enclos_exclos","TF",0,0,0,0,0,0,0,0,0,0,2016
"2","enclos_exclos","TF",0,0,0,0,0,0,0,0,0,0,2017
"3","enclos_exclos","Arc",0,0.11,0.00577350269189626,-0.213333333333333,0.00577350269189626,0.00333333333333333,0,0.11,0,0,2017
"4","exclos_selectif sanglier","Arc",0,0.08,0,-0.44,0,0,0,0.22,0,0.14,2017
"5","exclos_selectif chevreuil","Arc",0,0.22,0.00577350269189626,-0.436666666666667,0.00577350269189626,-0.00333333333333333,0,0.08,0,0.14,2017
"6","exclos_selectif cerf","Arc",0,0.09,0,-0.35,0,0,0,0.09,0,0.16,2017
"7","exclos_selectif cerf","Arc",0,0.09,0.00707106781186548,-0.345,0.00707106781186548,-0.005,0,0.09,0,0.16,2018
"8","exclos_selectif chevreuil","Arc",0,0.22,0,-0.44,0,0,0,0.08,0,0.14,2018
"9","exclos_selectif sanglier","Arc",0,0.08,0,-0.44,0,0,0,0.22,0,0.14,2018
"10","enclos_exclos","Arc",NA,0.11,NA,-0.21,NA,0,NA,0.11,NA,0,2018
"11","enclos_exclos","TF",0,0,0,0,0,0,0,0,0,0,2018
"12","enclos_exclos","TF",0,0,0,0,0,0,0,0,0,0,2019
"13","enclos_exclos","Arc",0,0.11,0,-0.21,0,0,0.00577350269189625,0.106666666666667,0,0,2019
"14","exclos_selectif sanglier","Arc",0,0.08,0,-0.44,0,0,0,0.22,0,0.14,2019
"15","exclos_selectif chevreuil","Arc",0,0.22,0,-0.44,0,0,0,0.08,0,0.14,2019
"16","exclos_selectif cerf","Arc",0,0.09,0,-0.35,0,0,0,0.09,0,0.16,2019
"17","exclos_selectif cerf","Arc",0,0.09,0,-0.35,0,0,0,0.09,0,0.16,2020
"18","exclos_selectif sanglier","Arc",0,0.08,0,-0.44,0,0,0,0.22,0,0.14,2020
"19","exclos_selectif chevreuil","Arc",0,0.22,0,-0.44,0,0,0,0.08,0,0.14,2020
"20","enclos_exclos","Arc",0,0.11,0,-0.21,0,0,0,0.11,0,0,2020
"21","enclos_exclos","Arc",0.00577350269189625,0.106666666666667,0.00577350269189623,-0.213333333333333,3.6799042000401e-18,0.01,0.00577350269189625,0.103333333333333,0,0,2021
"22","enclos_exclos","TF",0,0,0,0,0,0,0,0,0,0,2021
"23","exclos_selectif chevreuil","Arc",0.00577350269189626,0.213333333333333,0.0493288286231625,-0.416666666666667,0.0435889894354067,-0.01,0,0.08,0.00577350269189626,0.133333333333333,2021
"24","exclos_selectif cerf","Arc",0.00577350269189625,0.0866666666666667,0.023094010767585,-0.313333333333333,0.0173205080756888,-0.01,0,0.09,0,0.15,2021
"25","exclos_selectif sanglier","Arc",0,0.08,0.0152752523165195,-0.453333333333333,0.0251661147842358,0.0233333333333333,0.00577350269189626,0.213333333333333,0.00577350269189626,0.133333333333333,2021
"26","exclos_selectif sanglier","Arc",0,0.08,0,-0.44,0,0,0,0.22,0,0.14,2022
"27","exclos_selectif cerf","Arc",0,0.09,0,-0.35,0,0,0,0.09,0,0.16,2022
"28","exclos_selectif chevreuil","Arc",0,0.22,0,-0.44,0,0,0,0.08,0,0.14,2022
"29","enclos_exclos","Arc",0,0.11,0,-0.21,0,0,0,0.11,0,0,2022
"35","enclos_exclos","TF",0,0,0,0,0,0,0,0,0,0,2022
