"","modalite","site","ET_diff","mean_diff","ET_diff_chamae","mean_diff_chamae","ET_diff_phan","mean_diff_phan","ET_diff_geo","mean_diff_geo","ET_diff_thero","mean_diff_thero","année"
"1","enclos_exclos","TF",0,0,0.0170782512765993,0.0325,0.0298607881119482,-0.0475,0.00577350269189626,0.005,0.0270801280154532,0.01,2016
"2","enclos_exclos","TF",0.01,0.005,0.0208166599946613,0.035,0.033166247903554,-0.035,0,0,0.0309569593683445,-0.00750000000000001,2017
"3","exclos_selectif sanglier","Arc",0.00577350269189626,0.0666666666666667,0.0404145188432738,-0.316666666666667,0.0404145188432738,-0.0333333333333333,0.00577350269189625,0.176666666666667,0,0.11,2017
"4","exclos_selectif chevreuil","Arc",0,0.19,0.0152752523165195,-0.256666666666667,0.02,-0.12,0,0.07,0.00577350269189625,0.116666666666667,2017
"5","exclos_selectif cerf","Arc",0.023094010767585,0.0766666666666667,0.04,-0.23,0.0251661147842358,-0.0366666666666667,0.00577350269189625,0.0733333333333333,0.00577350269189626,0.123333333333333,2017
"6","enclos_exclos","Arc",0.023094010767585,0.0766666666666667,0.04,-0.23,0.0251661147842358,-0.0366666666666667,0.00577350269189625,0.0733333333333333,0.00577350269189626,0.123333333333333,2017
"7","exclos_selectif cerf","Arc",0.00707106781186547,0.075,0.00707106781186548,-0.205,0.0282842712474619,-0.06,0,0.07,0.014142135623731,0.12,2018
"8","exclos_selectif sanglier","Arc",0.00577350269189626,0.0633333333333333,0.0529150262212918,-0.27,0.0608276253029822,-0.06,0.00577350269189626,0.166666666666667,0,0.1,2018
"9","exclos_selectif chevreuil","Arc",0.00707106781186548,0.165,0.0424264068711929,-0.26,0.0353553390593273,-0.075,0,0.07,0,0.1,2018
"10","enclos_exclos","Arc",NA,0.07,NA,-0.2,NA,0.06,NA,0.07,NA,0,2018
"11","enclos_exclos","TF",0.0216024689946929,-0.01,0.0182574185835055,0.02,0.0404145188432738,0.035,0,0,0.0377491721763538,-0.0475,2018
"12","enclos_exclos","TF",0.0355902608401044,-0.02,0.0351188458428425,0.035,0.0634428877022476,-0.0225,0,0,0.0262995563967658,0.00249999999999999,2019
"13","enclos_exclos","Arc",0.0115470053837925,0.0833333333333333,0.0650640709864771,-0.123333333333333,0.0642910050732864,-0.0433333333333333,0.0152752523165195,0.0833333333333333,0,0,2019
"14","exclos_selectif sanglier","Arc",0.00577350269189626,0.0666666666666667,0.0300000000000001,-0.28,0.0305505046330389,-0.0633333333333333,0.00577350269189625,0.173333333333333,0.00577350269189625,0.103333333333333,2019
"15","exclos_selectif chevreuil","Arc",0,0.18,0.0404145188432738,-0.276666666666667,0.0346410161513776,-0.08,0,0.07,0.00577350269189625,0.106666666666667,2019
"16","exclos_selectif cerf","Arc",0.0115470053837925,0.0733333333333333,0.0360555127546399,-0.26,0.0378593889720018,-0.0166666666666667,0.00577350269189625,0.0766666666666667,0.00577350269189626,0.123333333333333,2019
"17","exclos_selectif cerf","Arc",0.0115470053837925,0.0766666666666667,0.0435889894354067,-0.27,0.0503322295684717,-0.0166666666666667,0.01,0.08,0.00577350269189626,0.126666666666667,2020
"18","exclos_selectif chevreuil","Arc",0.00577350269189626,0.183333333333333,0.0602771377334171,-0.293333333333333,0.0503322295684717,-0.0733333333333333,0.01,0.07,0.0115470053837925,0.113333333333333,2020
"19","exclos_selectif sanglier","Arc",0,0.07,0.0264575131106459,-0.25,0.0305505046330389,-0.0966666666666667,0.00577350269189625,0.173333333333333,0.00577350269189625,0.106666666666667,2020
"20","enclos_exclos","Arc",0,0.07,0.0152752523165195,-0.153333333333333,0.0152752523165195,-0.00666666666666667,0.0152752523165195,0.0866666666666667,0,0,2020
"21","enclos_exclos","Arc",0.01,0.09,0.0665832811847939,-0.123333333333333,0.0750555349946514,-0.0533333333333333,0.01,0.09,0,0,2021
"22","enclos_exclos","TF",0.00816496580927726,-0.01,0.0244948974278318,0.00999999999999998,0.0125830573921179,-0.0075,0,0,0.0208166599946613,0.00499999999999998,2021
"23","exclos_selectif sanglier","Arc",0,0.07,0.0568624070307733,-0.273333333333333,0.0650640709864771,-0.0933333333333333,0.01,0.18,0.00577350269189625,0.113333333333333,2021
"24","exclos_selectif chevreuil","Arc",0.00577350269189626,0.186666666666667,0.0757187779440036,-0.276666666666667,0.0776745346515403,-0.0933333333333333,0.00577350269189625,0.0733333333333333,0.00577350269189625,0.113333333333333,2021
"25","exclos_selectif cerf","Arc",0.00577350269189625,0.0833333333333333,0.0378593889720019,-0.233333333333333,0.0152752523165195,-0.0666666666666667,0.01,0.08,0.0152752523165195,0.136666666666667,2021
"110","exclos_selectif cerf","Arc",0.0115470053837925,0.0866666666666667,0.03,-0.28,0.0264575131106459,-0.02,0.00577350269189625,0.0833333333333333,0.0152752523165195,0.133333333333333,2022
"26","exclos_selectif sanglier","Arc",0.00577350269189626,0.0666666666666667,0.0503322295684717,-0.246666666666667,0.0416333199893227,-0.0966666666666667,0.01,0.17,0.00577350269189625,0.106666666666667,2022
"31","exclos_selectif chevreuil","Arc",0.0115470053837925,0.193333333333333,0.0814452781524708,-0.333333333333333,0.055075705472861,-0.0366666666666667,0.01,0.07,0.01,0.11,2022
"41","enclos_exclos","Arc",0,0.07,0.00999999999999995,-0.07,0.00577350269189627,-0.0866666666666667,0.0152752523165195,0.0833333333333333,0,0,2022
"61","enclos_exclos","TF",0.0469041575982343,-0.03,0.031091263510296,0.055,0.0616441400296898,-0.03,0,0,0.0206155281280883,0.0025,2022
