"","modalite","site","ET_diff_mean_shannon","diff_mean_shannon","année"
"1","enclos_exclos","TF",0.06,-0.01,2016
"2","enclos_exclos","TF",0.06,0.07,2017
"3","enclos_exclos","Arc",0.01,0,2017
"4","exclos_selectif chevreuil","Arc",0.05,-0.03,2017
"5","exclos_selectif cerf","Arc",0.03,0.01,2017
"6","exclos_selectif sanglier","Arc",0.01,0.01,2017
"7","exclos_selectif sanglier","Arc",0.05,0.02,2018
"8","exclos_selectif chevreuil","Arc",0.01,0,2018
"9","exclos_selectif cerf","Arc",0.03,-0.02,2018
"10","enclos_exclos","Arc",NA,0.03,2018
"11","enclos_exclos","TF",0.06,0.03,2018
"12","enclos_exclos","TF",0.07,0.12,2019
"13","enclos_exclos","TF",0.07,0.12,2019
"14","enclos_exclos","Arc",0.08,0.13,2019
"15","exclos_selectif chevreuil","Arc",0.12,0.01,2019
"16","exclos_selectif sanglier","Arc",0.05,0.05,2019
"17","exclos_selectif cerf","Arc",0.1,-0.03,2019
"18","exclos_selectif cerf","Arc",0.05,0.03,2020
"19","exclos_selectif chevreuil","Arc",0.04,0.03,2020
"20","exclos_selectif sanglier","Arc",0.05,0.17,2020
"21","enclos_exclos","Arc",0.36,0,2020
"22","enclos_exclos","Arc",0.06,-0.15,2021
"23","enclos_exclos","TF",0.19,-0.08,2021
"24","exclos_selectif chevreuil","Arc",0.24,-0.08,2021
"25","exclos_selectif cerf","Arc",0.05,-0.06,2021
"26","exclos_selectif sanglier","Arc",0.27,-0.23,2021
"27","exclos_selectif sanglier","Arc",0.01,0,2022
"28","exclos_selectif chevreuil","Arc",0.04,-0.05,2022
"29","exclos_selectif cerf","Arc",0.04,-0.02,2022
"30","enclos_exclos","Arc",0.1,0.06,2022
"31","enclos_exclos","TF",0.09,0.05,2022
