"","modalite","site","ET_diff_mean_shannon","diff_mean_shannon","année"
"1","enclos_exclos","TF",0,0,2016
"2","exclos_selectif sanglier","Arc",0,0,2017
"3","exclos_selectif chevreuil","Arc",0,0,2017
"4","exclos_selectif cerf","Arc",0,0,2017
"5","enclos_exclos","Arc",0,0,2017
"6","enclos_exclos","TF",0,0,2017
"7","enclos_exclos","TF",0,0,2018
"8","enclos_exclos","Arc",0,0,2018
"9","exclos_selectif sanglier","Arc",0,0,2018
"10","exclos_selectif chevreuil","Arc",0,0,2018
"11","exclos_selectif cerf","Arc",0,0,2018
"12","exclos_selectif cerf","Arc",0,0,2019
"13","exclos_selectif chevreuil","Arc",0,0,2019
"14","exclos_selectif sanglier","Arc",0,0,2019
"15","enclos_exclos","Arc",0,0,2019
"16","enclos_exclos","TF",0,0,2019
"17","enclos_exclos","Arc",0,0,2020
"18","exclos_selectif chevreuil","Arc",0,0,2020
"19","exclos_selectif cerf","Arc",0,0,2020
"20","exclos_selectif sanglier","Arc",0,0,2020
"21","exclos_selectif sanglier","Arc",0.02,0.08,2021
"22","exclos_selectif cerf","Arc",0.09,0.06,2021
"23","exclos_selectif chevreuil","Arc",0.14,0.07,2021
"24","enclos_exclos","Arc",0.03,0.01,2021
"25","enclos_exclos","TF",0.03,0.01,2021
"26","exclos_selectif sanglier","Arc",0,0,2022
"27","exclos_selectif chevreuil","Arc",0,0,2022
"28","exclos_selectif cerf","Arc",0,0,2022
"29","enclos_exclos","Arc",0,0,2022
"30","enclos_exclos","TF",0,0,2022
